Abstract,Keywords
" temporary henna tattoos or pseudotattoos have become increasingly widespread among children and adolescent . a generalized skin reaction , type erythema multiforme - like reaction is unusual , and rarely reported . 
 we describe the case of a 7-year - old boy who reported erythematous papular bulls - eye shaped lesions and consolidated edema primarily in the upper and lower extremities . 
 these lesions were compatibles with erythema multiforme - like reaction . 
 he also showed an erythematous - eczematous lesion on his leg , shaped like a dolphin . in this area , 
 a temporary henna tattoo was painted 1-month earlier . 
 patch test was positive for paraphenylenediamine ( ppd ) . 
 skin reactions due to henna are rare . 
 most of the reactions are due to additives , especially ppd , an aniline derivative , which is added to speed up the process of skin dyeing and to give a darker brown to black color (  black  henna ) . 
 as henna tattoos are becoming increasingly popular , prevention requires the annual provision of information to consumers , especially young people and their parents . ","henna, skin, reaction, black, ppd"
" in this study , two species of romaleidae grasshoppers , radacridium mariajoseae and r.nordestinum , were analyzed after cma3/da / dapi sequential staining and fluorescence in situ hybridization ( fish ) to determine the location of the 18s and 5s rdna and histone h4 genes . both species presented karyotypes composed of 2n = 23 , x0 with exclusively acrocentric chromosomes . 
 cma3 + blocks were detected after cma3/da / dapi staining in only one medium size autosome bivalent and in the x chromosome in r. mariajoseae . 
 on the other hand , all chromosomes , except the l1 bivalent , of r. nordestinum presented cma3 + blocks . 
 fish analysis showed that the 18s genes are restricted to the x chromosome in r. mariajoseae , whereas these genes were located in the l2 , s9 and s10 autosomes in r. nordestinum . in r. mariajoseae 
 , the 5s rdna sites were localized in the in l1 and l2 bivalents and in the x chromosome . in r. nordestinum , 
 the 5s genes were located in the l2 , l3 , m4 and m5 pairs . in both species 
 the histone h4 genes were present in a medium size bivalent . 
 together , these data evidence a great variability of chromosome markers and show that the 18s and 5s ribosomal genes are dispersed in the radacridium genome without a significant correlation . ","genes, chromosome, 5s, cma3, nordestinum"
" fasting plasma glucose ( fpg ) and hemoglobin a1c ( hba1c ) have been used to diagnose new - onset diabetes mellitus ( dm ) in order to simplify the diagnostic tests compared with the 2-hour oral glucose tolerance test ( ogtt ; 2-hpg ) . 
 we aimed to identify optimal cut - off points of high sensitive c - reactive protein ( hs - crp ) in new - onset dm people based on fpg , 2-hpg , or hba1c methods . 
 data derived from recent population - based survey in turkey ( turdep - ii ) . 
 the study included 26,499 adult people ( 63% women , response rate 85% ) . 
 the mean serum concentration of hs - crp in women was higher than in men ( p < 0.001 ) . 
 the people with new - onset dm based on hba1c had higher mean hs - crp level than fpg based and 2-hpg based dm cases . in hba1c , 2-hpg , and 
 fpg based new - onset dm people , cut - off levels of hs - crp in women were 2.9 , 2.1 , and 2.5  mg / l [ 27.5 , 19.7 , and 23.5  nmol / l ] and corresponding values in men were 2.0 , 1.8 , and 1.8  mg / l ( 19.0 , 16.9 , and 16.9  
 nmol / l ) , respectively ( sensitivity 6065% and specificity 5464% ) . 
 our results revealed that hs - crp may not further strengthen the diagnosis of new - onset dm . 
 nevertheless , the highest hs - crp level observed in new - onset dm people diagnosed with hba1c criterion supports the general assumption that this method might recognize people in more advanced diabetic stage compared with other diagnostic methods . ","dm, crp, hs, hba1c, people"
" background : mitochondrial diseases are a group of energy metabolic disorders with multisystem involvements . 
 variable clinical features present a major challenge in pediatric diagnoses . 
 we summarized the clinical spectrum of m.3243a > g mutation in chinese pediatric patients , to define the common clinical manifestations and study the correlation between heteroplasmic degree of the mutation and clinical severity of the disease.methods:clinical data of one - hundred pediatric patients with symptomatic mitochondrial disease harboring m.3243a > g mutation from 2007 to 2013 were retrospectively reviewed . 
 detection of m.3243a > g mutation ratio was performed by polymerase chain reaction ( pcr)-restriction fragment length polymorphism . 
 correlation between m.3243a > g mutation ratio and age was evaluated . 
 the differences in clinical symptom frequency of patients with low , middle , and high levels of mutation ratio were analyzed by chi - square test.results:sixty-six patients ( 66% ) had suffered a delayed diagnosis for an average of 2 years . 
 the most frequent symptoms were seizures ( 76% ) , short stature ( 73% ) , elevated plasma lactate ( 70% ) , abnormal magnetic resonance imaging / computed tomography ( mri / ct ) changes ( 68% ) , vomiting ( 55% ) , decreased vision ( 52% ) , headache ( 50% ) , and muscle weakness ( 48% ) . 
 the mutation ratio was correlated negatively with onset age ( r = 0.470 , p < 0.001 ) . 
 myopathy was more frequent in patients with a high level of mutation ratio . 
 however , patients with a low or middle level of m.3243a > g mutation ratio were more likely to suffer hearing loss , decreased vision , and gastrointestinal disturbance than patients with a high level of mutation ratio.conclusions:our study showed that half of chinese pediatric patients with m.3243a > g mutation presented seizures , short stature , abnormal mri / ct changes , elevated plasma lactate , vomiting , and headache . 
 pediatric patients with these recurrent symptoms should be considered for screening m.3243a > g mutation . 
 clinical manifestations and laboratory abnormalities should be carefully monitored in patients with this point mutation . ","mutation, 3243a, ratio, pediatric, patients"
" background : few studies have focused on peripheral nerve conduction during exposure to microgravity . the 6 head - down tilt ( hdt ) comprises an experimental model used to simulate the space flight environment . 
 this study investigated nerve conduction characteristics of rhesus monkeys before and after prolonged exposure to hdt.methods:six rhesus monkeys ( 34 years old ) were tilted backward 6 from the horizontal . 
 nerve conduction studies ( ncss ) were performed on the median , ulnar , tibial , and fibular motor nerves . 
 analysis of variance with a randomized block design was conducted to compare the differences in the ncs before and 7 , 21 , and 42 days after the 6 hdt.results:the proximal amplitude of the cmap of the median nerve was significantly decreased at 21 and 42 days of hdt compared with the amplitude before hdt ( 4.38  2.83 vs. 8.40  2.66 mv , f = 4.85 , p = 0.013 and 3.30  2.70 vs. 8.40  2.66 mv , f = 5.93 , p = 0.004 , respectively ) . 
 the distal amplitude of the cmap of the median nerve was significantly decreased at 7 , 21 , and 42 days of hdt compared with the amplitude before hdt ( 7.28  1.27 vs. 10.25  3.40 mv , f = 4.03 , p = 0.039 ; 5.05  2.01 vs. 10.25  3.40 mv , f = 6.25 , p = 0.04 ; and 3.95  2.79 vs. 10.25  3.40 mv , f = 7.35 , p = 0.01 ; respectively ) . 
 the proximal amplitude of the cmap of the tibial nerve was significantly decreased at 42 days of hdt compared with the amplitude before hdt ( 6.14  1.94 vs. 11.87  3.19 mv , f = 5.02 , p = 0.039).conclusions : this study demonstrates that the compound muscle action potential amplitudes of nerves are decreased under simulated microgravity in rhesus monkeys . 
 moreover , rhesus monkeys exposed to hdt might be served as an experimental model for the study of ncs under microgravity . ","hdt, mv, amplitude, nerve, vs"
" we report a redo coronary artery bypass grafting ( cabg ) in a 55-year - old man . 
 angina recurred 7 years after the initial surgery . 
 coronary angiography showed all patent grafts except a faint visualization of the in situ right gastroepiploic artery ( rgea ) graft , which was anastomosed to the posterior descending coronary artery , associated with celiac axis stenosis . 
 redo - cabg was performed at postoperative 10 years because of aggravated angina and decreased perfusion of the inferior wall in the myocardial single photon emission computed tomography . 
 the saphenous vein graft was interposed between the 2 in situ grafts used previously ; the right internal thoracic artery and rgea grafts . 
 angina was relieved and myocardial perfusion was improved . ","artery, grafts, angina, coronary, rgea"
" purposeto report a case of inadvertent anterior chamber and cornea stromal injection with high dose antibiotics and steroids during cataract operation.methodsduring cataract operation on a 78 year - old female patient , high dose gentamicin ( 20 mg/0.5 ml ) and dexamethasone ( 2 mg/0.5 ml ) were inadvertently injected into the anterior chamber and cornea stroma when making cornea edema for sealing of the incision sites . 
 anterior chamber irrigation with balanced salt solution ( bss ) was immediately administered . 
 on postoperative day one , extensive cornea edema was noted , and best - corrected visual acuity was 0.2 . 
 descemet 's membrane folds were observed around the corneal incision sites . 
 topical 5% nacl and 1% prednisolone were started.resultsfour weeks postoperatively , corneal edema began to reduce significantly . at four months 
 postoperatively , corneal edema fully resolved , and best - corrected visual acuity was 0.8 . 
 however , some descemet 's membrane folds still remained , and a decrease in the number of endothelial cells was noted by specular microscope.conclusionsin this case involving anterior chamber and cornea stromal injection with high dose antibiotics and steroids , immediate anterior chamber irrigation with balanced salt solution seemed an appropriate management , and the patient 's long - term visual acuity appears good . to prevent such mistakes , precise labeling of all solutions and use of different syringe needles should be considered . ","cornea, chamber, anterior, edema, corneal"
" little is known about the association between autosomal - dominant polycystic kidney disease ( adpkd ) and coronary artery dissection ( cad ) . 
 we suggest that the genetic disorder in adpkd is the main cause of instable artery vasculature . 
 our case also shows that cad can be missed in the acute phase . 
 therefore , we recommend additional investigation in patients with adpkd presenting with acute chest pain . 
 we report a case of a patient who developed a myocardial infarction due to a spontaneous dissection of the left anterior descending coronary artery . 
 adpkd was diagnosed during the additional investigation . 
 the patient received medical management . ","adpkd, artery, cad, dissection, investigation"
" treatment of cancer in children often requires a combination of chemotherapy , surgery , and/or radiotherapy . 
 radiotherapy and chemotherapy are not painful processes , but children undergoing these procedures must be made motionless through anesthesia or sedation . 
 there are a few reports of complications during these procedures in relation to the procedures themselves or to the anesthesia given . 
 this report describes an unexpected pulseless radial artery which was preliminarily and unduly attributed to anesthesia . 
 a 2.5 year - old male pediatric patient with an acute lymphoblastic leukaemia was scheduled for radiotherapy . 
 anesthesia with intramuscular ketamine was induced before starting radiotherapy . 
 about 5 minutes after injection of ketamine we found the right radial pulse undetectable . 
 there was no other manifestation of hypoxia or hypo - perfusion . 
 carotid pulsation was normal . 
 examination of the left radial pulse and other peripheral pulses showed normal pulsation . 
 the procedure was continued uneventfully . 
 the next follow - up after radiotherapy , showed a scar and swelling on the right antecubital area , caused by extravasation of chemotherapeutic agent in the prior period of chemotherapy . 
 doppler ultrasonography of the antecubital vein confirmed the diagnosis . 
 this case study therefore demonstrates that proper intravenous cannula establishment before chemotherapy is of great importance . 
 furthermore , accurate history and physical examination before induction of anesthesia or sedation may be useful in preventing mismanagement in pediatric cancer procedures . ","anesthesia, radiotherapy, procedures, radial, chemotherapy"
" background : respiratory tract infections are very common among the hajj pilgrims . some preventive measures including influenza vaccination , using face mask and salt water gargling have been considered to control these infections and the reports show conflicting results about the effects of each one of these measures . this study is trying to assess the effects of these recommendations on respiratory tract infections.methods:according to nested case - control design , in a cohort consisting of 338 iranian pilgrims , the outcome examined , was all types of respiratory tract infections other than common colds . with occurrence of any patient in convoy , data collection form was completed for that person . on the same day , 
 two people were randomly selected as control group from among pilgrims who have not affected so far.results:during hajj , 32 pilgrims ( 9.5% ) were affected by respiratory tract infections other than common colds . in univariable logistic regression analysis , salt water gargling ( or = 2.4 , p = 0.08 ) , existence of other patient in the room ( or = 2.14 , p = 0.19 ) , age over 60 years ( or = 1.84 , 
 p = 0.15 ) and the education more than or equal to 3 years ( or = 1.93 , p = 0.16 ) were effective in the respiratory tract infections ( p < 0.2 ) . 
 however , multivariable logistic regression analysis showed that none of the above mentioned factors are significantly associated with these infections.conclusions:this study showed that measures such as seasonal influenza vaccination , use of face masks and personal prayer carpet have no effect on the incidence of respiratory tract infections . 
 however , washing throat and mouth with salt water can be considered the most effective preventive measures . ","infections, tract, respiratory, pilgrims, salt"
" introductioncare coordination is an important aspect of nursing care especially for elderly patients admitted to an acute care setting . in singapore care coordination and transitional care nursing is a new concept of care nevertheless important but unexplored.aim/objectivesthe objective of this paper is to explore the characteristics of elderly patients receiving care coordination , determine care gaps and intervention during home visit and telephonic review.research design and samplinga designed questionnaire was used to collect information on the patient s demography , social and clinical profile and determine post discharge activities using eric coleman s four pillars tool . 
 a pilot study of ten questionnaires was conducted . 
 the retrospective data from the patient s index admission from the last six months ( nov 08april 09 ) was analyzed using spss version 16.resulttotal of 517 patients were recruited from october 2008 to march 2009 . 
 majority , 69% were above 70 years old of which 57% female and 76% lives with their children . 
 clinical information demonstrates that 53% had 36 co - morbidities and 58% were taking more than five medications . 
 the abbreviated mental test score were 6.2 , 6% were depressed and delirium was present in 14% of patients.only 65 patients ( 0.1% ) had home visits and telephonic review done whilst 97% of the remaining had only telephonic review done . 
 those who had both telephonic and home visit review , medications advice and compliance were checked only in 0.8% ( at one week ) and 1.6% ( at one month ) whilst during home visit this was done in 12.2% of patients as medication discrepancy were apparent at home . as for appointment compliance and compilation were done in 0.8% at one week and 51% at four weeks of telephonic review compared to during home visit only 4.8% . 
 caregivers education was emphasized in 14% of patients at home visit , 2% at one week and 4% at one month of telephonic review.discussionthe result showed that home visit is effective in exploring medication compliance , advice and emphasizing caregiver education , managing appointments can be effectively done through telephone review.conclusionthis study demonstrates the vital role of home visit for elderly patient to safely transit between hospitals to home . ","home, visit, telephonic, care, review"
" introduction : the objective of this study was to evaluate dentinal defects formed by new rotary system  protaper next ( ptn).materials and methods : sixty single - rooted premolars were selected . 
 all specimens were decoronated and divided into four groups , each group having 15 specimens . 
 group i specimens were prepared by hand k - files ( mani ) , group ii with protaper universal ( pt ; dentsply maillefer ) , group iii with hero shaper ( hs ; micro - mega , besancon , france ) , and group iv with ptn ( dentsply maillefer ) . 
 roots of each specimen were sectioned at 3 , 6 , and 9 mm from the apex and were then viewed under a stereomicroscope to evaluate presence or absence of dentinal defects.results:in roots prepared with hand files ( hfs ) showed lowest percentage of dentinal defects ( 6.7% ) ; whereas in roots prepared with pt , hs , and ptn it was 40 , 66.7 , and 26.7% , respectively . 
 there was significant difference between the hs group and the ptn group ( p < 0.05).conclusion : all rotary files induced defects in root dentin , whereas the hand instruments induced minimal defects . ","defects, ptn, group, files, dentinal"
" optimal design problem are widely known by their multiple performance measures that are often competing with each other . in this paper , 
 an optimal multiproduct batch chemical plant design is presented . the design is firstly formulated as a multiobjective optimization problem , to be solved using the well suited non dominating sorting genetic algorithm ( nsga - ii ) . 
 the 
 nsga - ii have capability to achieve fine tuning of variables in determining a set of non 
 dominating solutions distributed along the pareto front in a single run of the algorithm . 
 the nsga - ii ability to identify a set of optimal solutions 
 provides the decision - maker dm 
 with a complete picture of the optimal solution space to gain better and appropriate choices . 
 
 then an outranking with promethee ii helps the decision - maker to finalize the selection 
 of a best compromise . 
 the effectiveness of nsga - ii method with multiojective optimization problem is illustrated through two carefully referenced examples . ","nsga, ii, optimal, problem, maker"
" implant - supported craniofacial prostheses are made to restore defective areas in the face and cranium . 
 this clinical report describes a technique for fabrication of an orbital prosthesis with three adjacent implants in the left lateral orbital rim of a 60-year - old woman . 
 selection of appropriate attachment system ( individual magnetic abutments versus bar - clip attachment ) for implant - supported orbital prostheses depends upon the position of implants . 
 bar - magnetic attachment has been selected as the retention mechanism in the present case . ","attachment, orbital, prostheses, bar, implants"
" backgroundhepatocellular carcinoma ( hcc ) is one of the most common cancers worldwide especially in china . 
 this article aimed to evaluate the influence of body mass index ( bmi ) and waistline on complications , postoperative death , and long - term survival in patients undergoing surgery for hcc.material/methods136 patients were enrolled and divided into 4 groups : group a , bmi < 25 ; group b , bmi 25 ; group c , waistline < 90 cm in males or waistline < 80 cm in females ; group d , waistline 90 cm in males or waistline 80 cm in females . clinical pathological features and surgical outcomes of these patients 
 were analyzed retrospectively.resultsthere were no significant differences in postoperative complication rate and postoperative death between group a and group b , although pulmonary infection showed a significant difference between 2 groups ( p=0.017 ) . 
 vascular invasion , waistline , and bmi are the independent prognostic factors for long - term survival . 
 the disease - free survival curves after hepatectomy showed no statistically significant difference between group a and group b. group c had the better overall survival than group d , and group a had the better overall survival than group b.conclusionsbmi and waistline are both independent prognostic factors for long - term survival of hcc after hepatectomy . 
 waistline is more important than bmi in predicting the disease - free survival of hcc after hepatectomy . ","waistline, group, survival, hcc, bmi"
" professional mononuclear phagocytes such as polymorphonuclear neutrophils ( pmn ) , monocytes , and macrophages are considered as the first line of defence against invasive pathogens . 
 the formation of extracellular traps ( ets ) by activated mononuclear phagocytes is meanwhile well accepted as an effector mechanism of the early host innate immune response acting against microbial infections . 
 recent investigations showed evidence that etosis is a widely spread effector mechanism in vertebrates and invertebrates being utilized to entrap and kill bacteria , fungi , viruses , and protozoan parasites . 
 ets are released in response to intact protozoan parasites or to parasite - specific antigens in a controlled cell death process . 
 released ets consist of nuclear dna as backbone adorned with histones , antimicrobial peptides , and phagocyte - specific granular enzymes thereby producing a sticky extracellular matrix capable of entrapping and killing pathogens . 
 this review summarizes recent data on protozoa - induced etosis . 
 special attention will be given to molecular mechanisms of protozoa - induced etosis and on its consequences for the parasites successful reproduction and life cycle accomplishment . ","parasites, etosis, ets, protozoa, protozoan"
" we used results from a national tuberculosis prevalence survey in eritrea to calculate case detection rate ( cdr ) and compared it with the published cdr . 
 the cdr obtained from the survey was 40% , whereas the cdr published by the world health organization was 3 lower ( 14% ) . ","cdr, published, survey, calculate, eritrea"
" introductionproduction of antibodies against specific proteins of testis germ cells is of great significance for the investigation of processes involved in spermatogenesis , study of infertility problems and determination of the probable role of these proteins as cancer - testis antigens . 
 murine testis specific recombinant protein 101 ( mtex101 ) is a 38kda , gpi - anchored protein which is expressed in testis germ cells of adult mice but it seems to be absent in other tissues . 
 the structure and function of mtex101 is not completely understood yet , but it is speculated that it may transduce biochemical signals into the cytoplasm since mtex101 does not have an intracellular domain but the precise mechanisms are still ambiguous.materials and methodsrna was extracted from three adult mice testis . the rna was used in rt - pcr , employing a pair of specific primers for mtex101 orf region . 
 ta - cloning technique was performed by the insertion of mtex101 into a pgem - t easy vector , followed by its subcloning into a his - tagged expression vector , pet-28a ( + ) . 
 the recombinant mtex101 was then produced by transfection of the expression vector into bl 21 ( de3 ) e. coli strain.resultsa recombinant protein , weighing 27kda , was produced upon iptg - induction of the bacterial host . 
 the presence of mtex101 protein was detected through western blot analysis by anti - mtex101 peptide antibodies.conclusionwe produced mtex101 recombinant protein that could be used for the production of mono and polyclonal antibodies . ","mtex101, testis, recombinant, vector, protein"
" head and neck squamous cell carcinomas are among the most common neoplasms worldwide and characterized by local tumor aggressiveness , high rate of early recurrences , development of metastasis , and second primary cancers . despite modern therapeutic strategies and sophisticated surgical management , overall survival - rates remained largely unchanged over the last decades . 
 thus , the need for novel treatment options for this tumor entity is undeniable . 
 a key event in carcinogenesis is the uncontrolled modulation of genetic programs . 
 nuclear receptors belong to a large superfamily of transcription factors implicated in a broad spectrum of physiological and pathophysiological processes , including cancer . 
 several nuclear receptors have also been associated with head and neck cancer . 
 this review will summarize their mode of action , prognostic / therapeutic relevance , as well as preclinical and clinical studies currently targeting nuclear receptors in this tumor entity . ","receptors, nuclear, entity, tumor, head"
" to study the mechanism of curcumin - attenuated inflammation and liver 
 pathology in early stage of alcoholic liver disease , female sprague - dawley rats were 
 divided into four groups and treated with ethanol or curcumin via an intragastric tube 
 for 4 weeks . a control group treated with distilled water , and an ethanol group was 
 treated with ethanol ( 7.5 g / kg bw ) . 
 treatment groups were fed with ethanol 
 supplemented with curcumin ( 400 or 1 200 mg / kg bw ) . 
 the liver histopathology in 
 ethanol group revealed mild - to - moderate steatosis and mild necroinflammation . 
 hepatic 
 mda , hepatocyte apoptosis , and nf-b activation increased significantly in ethanol - treated group when compared with control . 
 curcumin treatments resulted in improving 
 of liver pathology , decreasing the elevation of hepatic mda , and inhibition of nf-b 
 activation . 
 the 400 mg / kg bw of curcumin treatment revealed only a trend of decreased 
 hepatocyte apoptosis . 
 however , the results of sod activity , ppar protein expression 
 showed no difference among the groups . in conclusion , 
 curcumin improved liver 
 histopathology in early stage of ethanol - induced liver injury by reduction of oxidative 
 stress and inhibition of nf-b activation . ","ethanol, curcumin, liver, bw, nf"
" objective : to investigate prospective , population - based long - term outcomes concerning seizures and antiepileptic drug ( aed ) treatment after resective epilepsy surgery in sweden.methods : ten- and 5-year follow - ups were performed in 2005 to 2007 for 278/327 patients after resective epilepsy surgery from 1995 to 1997 and 2000 to 2002 , respectively . 
 all patients had been prospectively followed in the swedish national epilepsy surgery register . 
 ninety - three patients , who were presurgically evaluated but not operated , served as controls.results:in the long term ( mean 7.6 years ) , 62% of operated adults and 50% of operated children were seizure - free , compared to 14% of nonoperated adults ( 
 p < 0.001 ) and 38% of nonoperated children ( not significant ) . 
 forty - one percent of operated adults and 44% of operated children had sustained seizure freedom since surgery , compared to none of the controls ( p < 0.0005 ) . 
 multivariate analysis identified 30 seizures / month at baseline and long epilepsy duration as negative predictors and positive mri to be a positive predictor of long - term seizure - free outcome . 
 ten years after surgery , 86% of seizure - free children and 43% of seizure - free adults had stopped aeds in the surgery groups compared to none of the controls ( p < 0.0005).conclusions : this population - based , prospective study shows good long - term seizure outcomes after resective epilepsy surgery . 
 the majority of the patients who are seizure - free after 5 and 10 years have sustained seizure freedom since surgery . 
 many patients who gain seizure freedom can successfully discontinue aeds , more often children than adults.classification of evidence : this study provides class iii evidence that more patients are seizure - free and have stopped aed treatment in the long term after resective epilepsy surgery than nonoperated epilepsy patients . ","seizure, epilepsy, surgery, operated, resective"
" 
 purpose . obesity is a serious health threat , particularly among racial / ethnic minorities and those who are uninsured , yet little is known about the implementation of nutrition or exercise counseling or the combination of both among these groups . 
 trends in counseling by race / ethnicity and types of insurance were examined . 
 methods . 
 trend analyses were conducted with the california health interview surveys among those ages 1217 for the period 20032009 . 
 results . race / ethnicity : receipt of both counseling methods declined from 20032009 for all racial / ethnic groups , except hispanics and whites , for whom increases in counseling began after 2007 . 
 hispanics and african americans generally reported higher levels of nutrition than exercise counseling , while whites generally reported higher levels of exercise than nutrition counseling for the study period . 
 insurance type : receipt of both counseling methods appeared to decline from 20032009 among all insurance types , although after 2007 , a slight increase was observed for the low - cost / free insurance group . those with private health insurance generally received more exercise counseling than nutrition counseling over the study period . conclusions . 
 counseling among all racial / ethnic groups and insurance types is warranted , but particularly needed for african americans , american indian / alaska natives , and the uninsured as they are at highest risk for developing obesity . 
 institutional and policy changes in the health care environment will be beneficial in helping to promote obesity - related counseling . ","counseling, insurance, nutrition, exercise, 20032009"
" objective : this study examined the endodontic experience , perceptions of endodontic practice , and self - rated confidence of dental students enrolled in taibah university , saudi arabia.materials and methods : a questionnaire was distributed to 41 undergraduate dental students registered in endodontic courses in the 2015 academic year . 
 the questionnaire evaluated their confidence performing nonsurgical root canal treatment . 
 the level of confidence was classified using a 5-point scale as  very confident ,   confident ,   neutral ,   not very confident ,  or  not at all confident .  
 the data were analyzed using spss version 20.0 ( spss , chicago , il , usa).results : the participation rate was 93% . 
 the maxillary incisor was the most common first tooth treated . 
 the students were relatively confident , but their confidence levels were lower regarding endodontic radiology , evaluation of root canal obturation , and determining the correct recall period for the patient.conclusion:the confidence of undergraduates in endodontics must be enhanced to increase their clinical competence when performing root canal treatment . ","confident, endodontic, confidence, canal, root"
" we report a case of a 36-year - old woman with progressive generalized myoclonus that first became apparent 9 years ago . 
 her younger brother had similar problems . 
 examination of her eyes revealed cherry - red spots . 
 hexosaminidase a , -galactosidase and neuraminidase activity were normal . 
 although the laboratory findings were negative , cherry - red spots , progressive myoclonus and autosomal recessive inheritance pattern suggested that she had an unknown type of lysosomal storage disease . ","cherry, myoclonus, spots, red, progressive"
" background : xpert mtb / rif assay has revolutionized the diagnosis of tuberculosis ( tb ) by simultaneously detecting the bacteria and resistance to rifampicin ( rif ) , a surrogate marker for multidrug - resistant tb ( mdr - tb ) in < 2 h. the rif resistance pattern in malwa region of punjab , india , is not documented . here 
 , we report the epidemiology of rif - resistant tb and mutations in rpob gene of mycobacterium tuberculosis ( mtb).materials and methods : a total of 1612 specimens received between october 2013 and february 2015 were tested by xpert mtb / rif assay following manufacturer 's instructions . 
 the results thus obtained were analyzed using spss version 20.0.0 ( spss inc . , chicago , il , usa ) statistical software.result:rif resistance was statistically higher in previously treated patients in comparison to the new patients ( p = 0.006 ) and in patients with acid fast - bacilli ( afb ) positive smears to afb - negative smears ( p = 0.048 ) . 
 rif resistance mutations in 130 specimens revealed frequency of e 73/130 ( 56% ) , b 28/130 ( 21.5% ) , d 18/130 ( 13.8% ) , a 11/130 ( 8.4% ) , and c 1/130 ( 0.7% ) while in one specimen , mutation combination , i.e. , mutations associated with more than one probe ( a and b both ) was present.conclusion:xpert mtb / rif assay is a user - friendly screening tool for detection of mtb and rif resistance from suspected tb / mdr cases in a shorter period of time . it could also serve as a useful technique to have simultaneous preliminary information regarding the mutation pattern of rif resistance in mtb isolates . ","rif, mtb, 130, tb, resistance"
" for the diagnosis of systemic autoimmune rheumatic diseases ( sard ) , patients are screened for anti - nuclear antibodies ( ana ) . 
 ana , as assessed by indirect immunofluorescence ( iif ) , have a poor specificity . 
 this hampers interpretation of positive results in clinical settings with low pretest probability of sard . 
 we hypothesized that the utility of positive ana iif results increases from primary to tertiary care . 
 we retrospectively determined ana , anti - ena , and anti - dsdna antibody prevalence in patient cohorts from primary ( n = 1453 ) , secondary ( n = 1621 ) , and tertiary ( n = 1168 ) care settings . 
 results reveal that from primary care to tertiary care , ana prevalence increases ( 6.2 , 10.8 , and 16.0% , resp . ) . moreover , in primary care low titres ( 70% versus 51% and 52% in secondary and tertiary care , resp . ) 
 are more frequent and anti - ena / dsdna reactivities are less prevalent ( 21% versus 39% in secondary care ) . 
 typically , in tertiary care the prevalence of anti - ena / dsdna reactivities ( 21% ) is lower than expected . from this descriptive study 
 we conclude that positive ana iif results are more prone to false interpretation in clinical settings with low pretest probabilities for sard , as in primary care . whether alternative approaches , 
 that is , immunoadsorption of anti - dfs70 antibodies or implementation of anti - ena screen assays , perform better , needs to be determined . ","ana, care, anti, ena, tertiary"
" backgroundmultidetector computed tomography ( mdct ) has become the main investigation of choice for staging of many cancers.aimthe purpose of this pictorial review is to discuss the imaging appearances on ct of some of the more common cancers arising within the abdomen and pelvis and to describe their typical sites of local , nodal and haematogenous tumour spread.methodscancers arising from the stomach , pancreas , colon , kidney , ovary and prostate will be reviewed.resultsawareness of the characteristic sites of tumour spread is important to allow accurate identification of all sites of disease.conclusionthis will clearly have an impact on both patient management and prognosis . ","sites, arising, spread, tumour, cancers"
" introductionthe long - term use of immunosuppressive agents for prevention of allograft rejection increases the risk of malignancy approximately 100 times as high as that in the general population and kaposi 's sarcoma ( ks ) is a relatively common malignancy after kidney transplantation . 
 the aim of present study was to investigate the frequency of ks in patients with kidney transplantation in 20 years period.material and methodsin this study charts and pathology reports of 1487 recipients for kidney allografts treated at imam reza hospital between 1991 and 2012 were reviewed . 
 the spss software package version 16 ( spss inc . , 
 chicago , illinois , usa ) was used for the statistical analysis.resultsthere were 17 of 1487 incident cases of ks kidney transplant population at our hospital in period of study . 
 there is no significant difference between age and gender of patients . 
 the mean time between transplantation and non - ks malignant tumors was 34.4  21.8 months ( range 12140 months ) , while in ks patients it was 18.7  25.2 months , which was statistically significantly different ( p < 0.05 ) . 
 after detection of ks in 12 patients , we perform serum antibody detection against hhv . among them , 8 ( 66.6% ) were seropositive.conclusionks is a common long - term complication in renal transplant recipients , with an increased incidence compared with the general population . given that candidates for organ transplantation who are seropositive for hhv-8 -and thus at risk for ks- can now be identified , chemoprevention should be available in this high - risk population . ","ks, transplantation, kidney, population, hhv"
" breast cancer remains a major cause of death in women in the developed world . as toll - like receptors ( tlrs ) 
 are widely expressed on tumor cells and play important roles in the initiation and progression of cancer , they may thus serve as important targets and have an effective perspective on breast cancer treatment . 
 expression of tlrs on breast cancer cells and mononuclear inflammatory cells can promote inflammation and cell survival in the tumor microenvironment . 
 inflammation and cancer are related . 
 it is well known that persistent inflammatory conditions can induce cancer formation , due to production of cytokines and chemokines , which play a crucial role in promoting angiogenesis , metastasis , and subversion of adaptive immunity . 
 tlr signaling in tumor cells can mediate tumor cell immune escape and tumor progression , and it is regarded as one of the mechanisms for chronic inflammation in tumorigenesis and progression . 
 this paper delineates the expression of various tlrs in promotion of inflammation and development of mammary tumors . understanding the mechanisms through which tlrs on breast cancer cells and inflammatory cells regulate growth , survival , and metastatic progression can make them potential targets for breast cancer therapy . ","cancer, tlrs, breast, cells, progression"
