Abstract,Keywords,Processed_Abstract
" there is a need recognized by the national institute of dental & craniofacial research and the national cancer institute to advance basic , translational and clinical saliva research . 
 the goal of the salivaomics knowledge base ( skb ) is to create a data management system and web resource constructed to support human salivaomics research . to maximize the utility of the skb for retrieval , integration and analysis of data 
 , we have developed the saliva ontology and sdxmart . 
 this article reviews the informatics advances in saliva diagnostics made possible by the saliva ontology and sdxmart . ","saliva, sdxmart, ontology, skb, salivaomics",need recogn nation institut dental craniofaci research nation cancer institut advanc basic translat clinic saliva research goal salivaom knowledg base skb creat datum manag system web resourc construct support human salivaom research maxim util skb retriev integr analysi datum develop saliva ontolog sdxmart articl review informat advanc saliva diagnost make possibl saliva ontolog sdxmart
" background : various histopathological changes have been observed following neoadjuvant chemotherapy in individual tumors in the literature.aims and objectives : to observe histopathologic changes seen after neoadjuvant chemotherapy in breast malignancies , squamous cell carcinomas , adenocarcinomas , and wilms tumor using breast cancer predominantly as the model.materials and methods : the present prospective study was carried out on 60 patients including 40 patients with carcinoma breast and 20 patients with other malignancies who received neoadjuvant chemotherapy.results:post neoadjuvant chemotherapy , mastectomy specimens revealed nuclear enlargement , nuclear shrinkage , necrosis , vacuolation of nucleus , vacuolation of cytoplasm , dyscohesion , and shrinkage of tumor cells with nuclear changes of nonviability like karyorrhexis , karyolysis , and pyknosis . 
 stromal reactions manifested as fibrosis , elastosis , collagenization , hyalinization , microcalcification , and neovascularization . 
 areas of necrosis included both vascular and avascular pattern . 
 the stroma also revealed fibrinoid necrosis and mucinous change . 
 hyalinization of the blood vessel wall was a common finding . 
 the most common inflammatory host response observed in the present study was lymphocytic ; others included mixed inflammation , plasmacytic , prominent histiocytic , and giant cell types . 
 giant cell reaction was significantly correlated to all types of tumor responses ( p < 0.05 ) . 
 similar changes were also observed in other malignancies . a detailed review of the literature has also been done and presented.conclusion:the tumor grade decreases and differentiation improves , in addition to the retrogressive changes and increase in stromal component , as a result of chemotherapy in carcinoma breast as well as in other malignancies . ","neoadjuvant, malignancies, chemotherapy, breast, changes",background variou histopatholog chang observ follow neoadjuv chemotherapi individu tumor literatureaim object observ histopatholog chang see neoadjuv chemotherapi breast malign squamou cell carcinoma adenocarcinoma wilm tumor use breast cancer predominantli modelmateri method present prospect studi carri 60 patient includ 40 patient carcinoma breast 20 patient malign receiv neoadjuv chemotherapyresultspost neoadjuv chemotherapi mastectomi speciman reveal nuclear enlarg nuclear shrinkag necrosi vacuol nucleu vacuol cytoplasm dyscohe shrinkag tumor cell nuclear chang nonviabl like karyorrhexi karyolysi pyknosi stromal reaction manifest fibrosi elastosi collagen hyalin microcalcif neovascular area necrosi includ vascular avascular pattern stroma also reveal fibrinoid necrosi mucin chang hyalin blood vessel wall common find common inflammatori host respon observ present studi lymphocyt other includ mix inflamm plasmacyt promin histiocyt giant cell type giant cell reaction significantli correl type tumor respon p 005 similar chang also observ malign detail review literatur also do presentedconclusionth tumor grade decrea differenti improv addit retrogress chang increa stromal compon result chemotherapi carcinoma breast well malign
" retrospective data was collected from 77 elderly acute myeloid leukemia ( aml ) patients treated with azacitidine ( aza ) and 50 elderly aml patients treated with intensive chemotherapy ( ic ) from 4 portuguese hospitals.median os was 10.6 months in those receiving aza as 1st line . 
 response ( overall response rate 44% ) had a significant impact on overall survival ( p=<0.0001 ) . 
 median os of the comparator ic cohort was significantly inferior to that observed in the cohort treated with aza in first line ( p=0.0104).these results support the efficacy of aza in aml in the elderly in any line of treatment . ","aza, aml, elderly, line, ic",retrospect datum collect 77 elderli acut myeloid leukemia aml patient treat azacitidin aza 50 elderli aml patient treat inten chemotherapi ic 4 portugue hospitalsmedian os 106 month receiv aza 1st line respon overal respon rate 44 signific impact overal surviv p00001 median os compar ic cohort significantli inferior observ cohort treat aza first line p00104these result support efficaci aza aml elderli line treatment
" background : disorders of cardiovascular system can cause disability or death , screening is necessary specially in workers who maybe had risk factors . 
 hypertension , hyperlipidemia , obesity , smoking , genetic , exposure to chemicals , fumes , solvents , coldness are non occupational and occupational risk factors . 
 objective was comparison of cardiovascular disorders risk factors between workers in different industries of iran.methods:in a cross - sectional study , workers of automobile , food industries and light works had been selected and cardiovascular disorders risk factors had been gathered then data analyzed in spss with one - way anova , chi-2 and multi nominal logistic regression with p < 0.05.results:875 workers had been participated in the study , all of the cardiovascular disorders risk factors were in the normal range . 
 mean of high density lipoprotein ( hdl ) in food industry workers was 63.83  17.42 mg / dl and it was protective , but in workers who work in automobile industry was 38.97  11.08 mg / dl and the lowest , also hypertension and hypertriglyceridemia were more prominent in this industry and after regression with p < 0.05 , the differences were significant.conclusions:screening of cardiovascular disorders risk factors were important and helpful in industries specially automobile industry , that might be preventive method for these disorders in the future . ","workers, disorders, industry, cardiovascular, factors",background disord cardiovascular system caus disabl death screen necessari special worker mayb risk factor hyperten hyperlipidemia obe smoke genet exposur chemic fume solvent cold non occup occup risk factor object comparison cardiovascular disord risk factor worker differ industri iranmethodsin cross section studi worker automobil food industri light work select cardiovascular disord risk factor gather datum analyz spss one way anova chi2 multi nomin logist regress p 005results875 worker particip studi cardiovascular disord risk factor normal rang mean high densiti lipoprotein hdl food industri worker 6383 1742 mg dl protect worker work automobil industri 3897 1108 mg dl low also hyperten hypertriglyceridemia promin industri regress p 005 differ significantconclusionsscreen cardiovascular disord risk factor import help industri special automobil industri might prevent method disord futur
" purposeas endoscopic treatment for vesicoureteral reflux ( vur ) has increased , secondary ureteral reimplantation ( ur ) after failure of endoscopic treatment has increased . 
 we studied the clinical feature and efficacy of secondary ur after failure of endoscopic treatment compared with primary ur.materials and methodseighty - one children who had ur for vur were enrolled . 
 charts were reviewed retrospectively for age , sex , grade of vur before surgery , operative time , hospitalization period , postoperative complication , and success rate . 
 primary ur ( group a , n=64 ) was compared with secondary ur after failed endoscopic treatment ( group b , n=17 ) . in group 
 b , telephone survey for the satisfaction of endoscopic treatment and surgery was done.resultsmean age of each group was 49.637.1 and 56.622.5 months ( p=0.236 ) . 
 there was no significant difference between each group in sex , mean operative time , postoperative transfusion , complication rate , and success rate . 
 as telephone survey in group b , eleven responders preferred endoscopic treatment as primary treatment of vur because it was a simple method and no hospitalization.conclusionssecondary ur after failure of endoscopic treatment was similar to primary ur . 
 parents preferred endoscopic treatment as first line treatment for vur in spite of the need for secondary ur after failure of endoscopic treatment . ","ur, endoscopic, vur, treatment, group",purposea endoscop treatment vesicoureter reflux vur increa secondari ureter reimplant ur failur endoscop treatment increa studi clinic featur efficaci secondari ur failur endoscop treatment compar primari urmateri methodseighti one child ur vur enrol chart review retrospect age sex grade vur surgeri oper time hospit period postop complic success rate primari ur group n64 compar secondari ur fail endoscop treatment group b n17 group b telephon survey satisfact endoscop treatment surgeri doneresultsmean age group 496371 566225 month p0236 signific differ group sex mean oper time postop transfu complic rate success rate telephon survey group b eleven respond prefer endoscop treatment primari treatment vur simpl method hospitalizationconclusionssecondari ur failur endoscop treatment similar primari ur parent prefer endoscop treatment first line treatment vur spite need secondari ur failur endoscop treatment
" introductionorganizations can be regarded as systems . 
 the traditional model of systems views them as machines . 
 this seems to be insufficient when it comes to understanding and organizing complex tasks . to better understand integrated care we should approach organizations as constantly changing living organisms , where many agents are interconnected in so - called complex adaptive systems ( cas).theory and discussionthe term  complex 
  emphasizes that the necessary competence to perform a task is not owned by any one part , but comes as a result of co - operation within the system .  
 adaptive  means that system change occurs through successive adaptations . 
 a cas consists of several subsystems called agents , which act in dependence of one another . 
 examples would be the ant - hill , the human immune defence , the financial market and the surgical operating theatre team . studying a cas , 
 the focus is on the interaction and communication between agents . 
 although these thoughts are not new , the cas - approach has not yet been widely applied to the management of integrated care . 
 this helps the management to understand why the traditional top down way of managing , following the machine model thinking , may meet with problems in interdependent organizations with complex tasks.conclusionwhen we perceive health and social services as cass we should gain more insight into the processes that go on within and between organizations and how top management , for example within a hospital , in fact executes its steering function . ","cas, organizations, complex, agents, tasks",introductionorgan regard system tradit model system view machin seem insuffici come understand organ complex task well understand integr care approach organ constantli chang live organ mani agent interconnect call complex adapt system castheori discussionth term complex empha necessari compet perform task own one part come result co oper within system adapt mean system chang occur success adapt can consist sever subsystem call agent act depend one anoth exampl would ant hill human immun defenc financi market surgic oper theatr team studi can focu interact commun agent although think new can approach yet wide appli manag integr care help manag understand tradit top way manag follow machin model think may meet problem interdepend organ complex tasksconclusionwhen perceiv health social servic cass gain insight process go within organ top manag exampl within hospit fact execut steer function
" cathepsins are an essential protease family in all living cells . 
 the cathepsins play an essential roles such as protein catabolism and protein synthesis . to targeting to various organella and 
 to regulate their activity , the post translational - processing and modification play an important role cathepsins are translated in polysome as the pre - pro - mature forms . 
 the pre - peptide is removed cotranslationally and then translocated to golgi - apparatus and the pro - part is removed and the mature - part is glycosylated , and the mature - part is targeted into the lysosome mediated by mannose-6-phosphate signal and the mature - part is bound with their coenzymes . 
 the degradation of the mature - part is started by the limited proteolysis of the ordered nicked bonds to make hydrophobic peptides . 
 the peptides are incorporated into phagosome or proteasome after ubiquitinated and are degrade into amino - acids . 
 cystatins are endogenous inhibitors of cathepsins . 
 
 cystatin  which is only located in skin is phosphorylated at the near c - terminus by protein kinase - c , and the phosphorylate - cystatin  is incorporated into cornified envelope and conjugated with filaggrin - fiber by transglutaminase to form the linker - fiber of skin . 
 the cystatin  is modified by glutathione or make their dimmer , and they are inactive . 
 those modifications are regulated by the redox - potential by the glutathione . ","mature, cathepsins, cystatin, pro, glutathione",cathepsin essenti protea famili live cell cathepsin play essenti role protein catabol protein synthesi target variou organella regul activ post translat process modif play import role cathepsin translat polysom pre pro matur form pre peptid remov cotransl transloc golgi apparatu pro part remov matur part glycosyl matur part target lysosom mediat mannose6phosph signal matur part bind coenzym degrad matur part start limit proteolysi order nick bond make hydrophob peptid peptid incorpor phagosom proteasom ubiquitin degrad amino acid cystatin endogen inhibitor cathepsin cystatin locat skin phosphoryl near c terminu protein kina c phosphoryl cystatin incorpor cornifi envelop conjug filaggrin fiber transglutamina form linker fiber skin cystatin modifi glutathion make dimmer inact modif regul redox potenti glutathion
" hypothyroidism is a common endocrine disorder with characteristic clinical symptoms and signs . 
 typical symptoms of hypothyroidism are lethargy , cold intolerance , slowing of intellectual and motor activity , decreased appetite , weight gain , and dry skin . 
 a 39-year - old female presented to the clinic with dysarthria as the chief symptom . 
 subsequent questions revealed that other symptoms were confined to the otolaryngeal region , which were episodes of mild dysphonia , dysphagia , sleep apnea , and snoring . 
 laboratory data revealed marked hypothyroidism and positive tests for antithyroglobulin and antimicrosomal antibodies . 
 after administration of thyroxin , the dysarthria and the other symptoms rapidly disappeared . 
 dysarthria may be the presenting symptom of hypothyroidism and can be resolved after hormone replacement therapy . ","hypothyroidism, dysarthria, symptoms, symptom, revealed",hypothyroid common endocrin disord characterist clinic symptom sign typic symptom hypothyroid lethargi cold intoler slow intellectu motor activ decrea appetit weight gain dri skin 39year old femal present clinic dysarthria chief symptom subsequ question reveal symptom confin otolaryng region episod mild dysphonia dysphagia sleep apnea snore laboratori datum reveal mark hypothyroid posit test antithyroglobulin antimicrosom antibodi administr thyroxin dysarthria symptom rapidli disappear dysarthria may present symptom hypothyroid resolv hormon replac therapi
" the variant morphometry of bicipital groove is reported to be associated with pathologies of biceps tendon and is useful in surgical procedures in this region . 
 the pathologies of biceps tendon are frequent causes of shoulder pain . therefore , under the condition of paucity of data pertaining to north indians , not only morphometric analysis of bicipital groove and a new definition of narrow / shallow groove to provide logical explanation for dependence of pathologies of biceps tendon on groove morphology is done but also a review of the literature has been carried out . 
 various dimensions such as lengths of medial and lateral walls , width , depth , medial wall , and opening angles including incidence of supratubercular ridge of bicipital groove from 101 humerii are 23  5 , 32  5 , 8  2 , 6  1 , 48.91  10.31 , 82.20  22.62 , and 37% , respectively . 
 the average height along with average width of biceps tendon and average width along with average depth of bicipital groove from two cadavers are 1.8 , 10.5 , 11.3 , and 5.5  mm , respectively . 
 the knowledge of bicipital groove will be of paramount importance to anatomists for new data , for orthopaedic surgeons in carrying out surgical procedures in this region , and for physicians in the management of anterior shoulder pain in north indian population . ","groove, bicipital, biceps, tendon, width",variant morphometri bicipit groov report associ patholog bicep tendon use surgic procedur region patholog bicep tendon frequent caus shoulder pain therefor condit pauciti datum pertain north indian morphometr analysi bicipit groov new definit narrow shallow groov provid logic explan depend patholog bicep tendon groov morpholog do also review literatur carri variou dimen length medial later wall width depth medial wall open angl includ incid supratubercular ridg bicipit groov 101 humerii 23 5 32 5 8 2 6 1 4891 1031 8220 2262 37 respect averag height along averag width bicep tendon averag width along averag depth bicipit groov two cadav 18 105 113 55 mm respect knowledg bicipit groov paramount import anatomist new datum orthopae surgeon carri surgic procedur region physician manag anterior shoulder pain north indian popul
" background : this study provides a national profile of major work safety accidents in china , which cause more than 10 fatalities per accident , intended to provide scientific basis for prevention measures and strategies to reduce major work safety accidents and deaths.methods:data from 20032012 census of major work safety accidents were collected from state administration of work safety system ( saws ) . 
 published literature and statistical yearbook were also included to implement information . 
 we analyzed the frequency of accidents and deaths , trend , geographic distribution and injury types . 
 additionally , we discussed the severity and urgency of emergency rescue by types of accidents.results:a total of 877 major work safety accidents were reported , resulting in 16,795 deaths and 9,183 injuries . 
 the numbers of accidents and deaths , mortality rate and incidence of major accidents have declined in recent years . 
 the mortality rate and incidence was 0.71 and 1.20 per 106 populations in 2012 , respectively . 
 transportation and mining contributed to the highest number of major accidents and deaths . 
 major aviation and railway accidents caused more casualties per incident , while collapse , machinery , electrical shock accidents and tailing dam accidents were the most severe situation that resulted in bigger proportion of death.conclusion:ten years major work safety accident data indicate that the frequency of accidents and number of eaths was declined and several safety concerns persist in some segments . ","accidents, safety, deaths, major, work",background studi provid nation profil major work safeti accid china caus 10 fatal per accid intend provid scientif basi prevent measur strategi reduc major work safeti accid deathsmethodsdata 20032012 censu major work safeti accid collect state administr work safeti system see publish literatur statist yearbook also includ implement inform analyz frequenc accid death trend geograph distribut injuri type addit discuss sever urgenc emerg rescu type accidentsresultsa total 877 major work safeti accid report result 16795 death 9183 injuri number accid death mortal rate incid major accid declin recent year mortal rate incid 071 120 per 106 popul 2012 respect transport mine contribut high number major accid death major aviat railway accid caus casualti per incid collap machineri electr shock accid tail dam accid sever situat result big proport deathconclusionten year major work safeti accid datum indic frequenc accid number eath declin sever safeti concern persist segment
" we have previously isolated -cop , the -cop interactor in copi of aspergillus nidulans , by yeast two - hybrid screening . to understand the function of -cop , the anea+ gene for -cop / anea was deleted by homologous recombination using a gene - specific disruption cassette . 
 deletion of the -cop gene showed no detectable changes in vegetative growth or asexual development , but resulted in decrease in the production of the fruiting body , cleistothecium , under conditions favorable for sexual development . unlike in the budding yeast saccharomyces cerevisiae , in a. nidulans , over - expression of -cop did not rescue the thermo - sensitive growth defect of the -cop mutant at 42. together , 
 these data show that -cop is not essential for viability , but it plays a role in fruiting body formation in a. nidulans . ","cop, nidulans, gene, fruiting, anea",previous isol cop cop interactor copi aspergillu nidulan yeast two hybrid screen understand function cop anea gene cop anea delet homolog recombin use gene specif disrupt cassett delet cop gene show detect chang veget growth asexu develop result decrea product fruit bodi cleistothecium condit favor sexual develop unlik bud yeast saccharomyc cerevisia nidulan express cop rescu thermo sensit growth defect cop mutant 42 togeth datum show cop essenti viabil play role fruit bodi format nidulan
" aim : to evaluate the efficacy of calretinin immunostaining in diagnosing hirschsprung 's disease ( hd).materials and methods : sixty cases were studied over a period of 1 year ( july 2010-june 2011 ) . 
 there were 36 full - thickness biopsies and 24 resected specimens . 
 calretinin processing was done on the paraffin - embedded blocks after routine histopathological examination.results:of the 36 biopsy specimens , in 19 cases hd was diagnosed by hematoxylin and eosin ( h and e ) staining earlier . in 2 patients , 
 ganglion cells were seen and hd was ruled out . in 15 cases , there was a diagnostic dilemma and calretinin was used . 
 ganglion cells were found in 3 specimens and nerve fibers in 5 . in all 24 resected specimens , calretinin correlated with the findings on h and 
 e staining.conclusions:calretinin was extremely useful in solving the suspicious and indeterminate cases of hd . 
 it can serve as a valuable cost - effective diagnostic aid in the centers where acetylcholinesterase enzyme histochemistry is not available . ","calretinin, hd, specimens, cases, ganglion",aim evalu efficaci calretinin immunostain diagnos hirschsprung disea hdmateri method sixti case studi period 1 year juli 2010june 2011 36 full thick biopsi 24 resect speciman calretinin process do paraffin embed block routin histopatholog examinationresultsof 36 biopsi speciman 19 case hd diagnos hematoxylin eosin h e stain early 2 patient ganglion cell see hd rule 15 case diagnost dilemma calretinin use ganglion cell find 3 speciman nerv fiber 5 24 resect speciman calretinin correl find h e stainingconclusionscalretinin extrem use solv suspici indetermin case hd serv valuabl cost effect diagnost aid center acetylcholinestera enzym histochemistri avail
" background : drug abuse is now - a - days one of the gravest social harms . 
 recent years have experienced a drastic rise in drug abuse among school and university students . 
 thus , the need for special attention to the issue is deemed important . 
 the present study was conducted with the aim of assessing the impact of life skills training on promotion of drug abuse preventive behaviors.methods:this field trial experimental study was conducted on 60 students of gonabad medical university selected through quota random sampling and assigned randomly into two intervention and control groups . 
 data were collected through a questionnaire , including two sections of demographic information and drug abuse preventive behaviors . 
 the questionnaire was first assessed as to its validity and reliability and then administered both before and after educational intervention and also as a follow - up 4 years after intervention  data were then analyzed using t - tests and chi-square.results:comparison of post - test mean scores of drug abuse preventive behaviors of both groups showed a significant difference ( p < 0.01 ) which remained stable 4 years after intervention . 
 there was a significant relationship between father 's educational level and drug abuse preventive behaviors ( p < 0.01).conclusions : life skills training is effective in the promotion of drug abuse preventive behaviors of university students . ","abuse, behaviors, drug, preventive, intervention",background drug abus day one grave social harm recent year experienc drastic rise drug abus among school univer student thu need special attent issu deem import present studi conduct aim assess impact life skill train promot drug abus prevent behaviorsmethodsthi field trial experiment studi conduct 60 student gonabad medic univer select quota random sampl assign randomli two intervent control group datum collect questionnair includ two section demograph inform drug abus prevent behavior questionnair first assess valid reliabl administ educ intervent also follow 4 year intervent datum analyz use test chisquareresultscomparison post test mean score drug abus prevent behavior group show signific differ p 001 remain stabl 4 year intervent signific relationship father educ level drug abus prevent behavior p 001conclu life skill train effect promot drug abus prevent behavior univer student
" we report results on the seroprevalence of antibodies to coxiella burnetii in cattle and healthy people in korea . upon agreement with dairy owners , serum samples from 414 dairy cattle 
 were collected between march and june 2001 and samples from 205 people for health screening were collected between april and december 2002 . 
 the sera were analyzed for the presence of anti - c . 
 burnetii phase ii antibodies using an indirect microimmunofluorescence test ; strong fluorescence at a 1:32 dilution was regarded as positive . 
 the overall seroprevalence of c. burnetii in cattle in korea was 25.6% , with regional variation from 8.9 to 59.3% . 
 of the positive serum samples , 75.5% had antibody titers 1:256 . 
 by contrast , only 1.5% of people in a rural area were seropositive , and most of the positive samples had low antibody titers . in conclusion , this study showed that relatively high seropositivity of c. burnetii in dairy cattle , accordingly , the studies on the high - risk groups are needed to evaluate the seroprevalence for this organism in korea . ","burnetii, cattle, seroprevalence, dairy, samples",report result seropreval antibodi coxiella burnetii cattl healthi peopl korea upon agreement dairi owner serum sampl 414 dairi cattl collect march june 2001 sampl 205 peopl health screen collect april decemb 2002 sera analyz presenc anti c burnetii phase ii antibodi use indirect microimmunofluoresc test strong fluoresc 132 dilut regard posit overal seropreval c burnetii cattl korea 256 region variat 89 593 posit serum sampl 755 antibodi titer 1256 contrast 15 peopl rural area seroposit posit sampl low antibodi titer conclus studi show rel high seroposit c burnetii dairi cattl accordingli studi high risk group need evalu seropreval organ korea
" background : tuberculosis ( tb ) remains as one of the most serious infectious diseases in the world . 
 pulmonary tuberculosis can occur with other pulmonary diseases caused by opportunistic organisms such as nocardia spp . particularly in immunocompromised patients . 
 therefore , diagnosis of co - infection at the early stage of the disease could be lifesaving.objectives:the goal of this study was to detect mycobacterium tuberculosis and nocardia spp . in sputum specimens in order to assess the concomitant nocardiosis and tuberculosis in patients with suspected pulmonary tuberculosis.patients and methods : from march 2011 to april 2012 , 189 sputum specimens were obtained from patients who were suspected of having pulmonary tuberculosis . 
 out of 189 samples , 32 of the samples belonged to hospitalized hiv - infected patients . 
 samples were examined by gram and ziehl - nelsen staining , culture and pcr methods.results:from 157 sputum specimens , positive samples by acid fast staining , culture and pcr for m. tuberculosis were reported for 7.6% ( 12/157 ) , 10.1% ( 16/157 ) and 7% ( 11/157 ) of samples , respectively . 
 no results were obtained by the described methods for nocardia spp . among 32 samples of hiv - infected patients , four ( 12.5% ) had positive results for acid fast staining , culture and pcr detecting m. tuberculosis while only two samples had positive results for nocardia spp . by pcr and no results 
 were reported by culture , gram and acid fast staining for this organism.conclusions:concurrent pulmonary nocardiosis and tuberculosis is frequent in hiv - infected patients . 
 rapid and sensitive methods such as pcr are recommended for detection of such co - infections . ","tuberculosis, samples, 157, nocardia, pcr",background tuberculosi tb remain one seriou infecti disea world pulmonari tuberculosi occur pulmonari disea caus opportunist organ nocardia spp particularli immunocompromis patient therefor diagnosi co infect earli stage disea could lifesavingobjectivesth goal studi detect mycobacterium tuberculosi nocardia spp sputum speciman order assess concomit nocardiosi tuberculosi patient suspect pulmonari tuberculosispati method march 2011 april 2012 189 sputum speciman obtain patient suspect pulmonari tuberculosi 189 sampl 32 sampl belong hospit hiv infect patient sampl examin gram ziehl nelsen stain cultur pcr methodsresultsfrom 157 sputum speciman posit sampl acid fast stain cultur pcr tuberculosi report 76 12157 101 16157 7 11157 sampl respect result obtain describ method nocardia spp among 32 sampl hiv infect patient four 125 posit result acid fast stain cultur pcr detect tuberculosi two sampl posit result nocardia spp pcr result report cultur gram acid fast stain organismconclusionsconcurr pulmonari nocardiosi tuberculosi frequent hiv infect patient rapid sensit method pcr recommend detect co infect
" this study was conducted to investigate the metabolic changes in the motor and motor association cortices following axonal injury in the internal capsule that was caused by deep intracerebral hematoma . using proton magnetic resonance spectroscopy ( 1h mrs ) 
 , the authors studied the primary motor cortices ( m-1 ) and sup - plementary motor areas ( sma ) of 9 hemiparetic patients with documentable hemi - paresis of varying severity , and we studied 10 normal volunteers as controls . to measure the m-1 and 
 sma biochemical changes , 4 separate single volumes of inter - est(vois ) were located bilaterally in the affected and unaffected hemisphere ( ah and uh ) . 
 1h mrs provided a neuronal and axonal viability index by measuring levels of n - acetylaspartate ( naa ) and creatine / phosphocreatine ( cr ) . 
 the m-1/sma naa / cr ratios of the ah and uh in patients , and the ah and normal volunteers were com - pared . 
 the naa / cr ratios of the m-1 and sma in ah , and the sma in uh were sig - nificantly lower than those of normal volunteers . 
 these 1h mrs findings indicate that axonal injury in the descending motor pathway at the level of internal capsule could induce metabolic changes in the higher centers of the motor pathway . ","sma, motor, ah, naa, uh",studi conduct investig metabol chang motor motor associ cortic follow axon injuri intern capsul caus deep intracerebr hematoma use proton magnet reson spectroscopi 1h mr author studi primari motor cortic m1 sup plementari motor area sma 9 hemiparet patient document hemi paresi vari sever studi 10 normal volunt control measur m1 sma biochem chang 4 separ singl volum inter estvoi locat bilater affect unaffect hemispher ah uh 1h mr provid neuron axon viabil index measur level n acetylaspart naa creatin phosphocreatin cr m1sma naa cr ratio ah uh patient ah normal volunt com pare naa cr ratio m1 sma ah sma uh sig nificantli lower normal volunt 1h mr find indic axon injuri descend motor pathway level intern capsul could induc metabol chang high center motor pathway
" conversion disorders are more prevalent in childhood and adolescence , especially in females . 
 they are usually associated with stressors and symptoms usually reflect a means to avoid the stressor , or also with a primary and secondary gain . this case report involves a similar situation where a young girl was treated successfully with diazepam , therapeutic nerve conduction study , and behavioral psychotherapy . ","usually, psychotherapy, behavioral, diazepam, stressor",conver disord preval childhood adolesc especi femal usual associ stressor symptom usual reflect mean avoid stressor also primari secondari gain case report involv similar situat young girl treat success diazepam therapeut nerv conduct studi behavior psychotherapi
" purposeto compare the success rates , complications , and visual outcomes between silicone ahmed glaucoma valve ( agv ) implantation with 96 mm2 ( fp8 ) or 184 mm2 ( fp7 ) surface areas.methodsthis study is a retrospective review of the records from 132 adult patients ( 134 eyes ) that underwent silicone agv implant surgery . among them , the outcomes of 24 eyes from 24 patients with refractory glaucoma who underwent fp8 agv implantation were compared with 76 eyes from 76 patients who underwent fp7 agv implantation . 
 preoperative and postoperative data , including intraocular pressure ( iop ) , visual acuity , number of medications , and complications were compared between the 2 groups.resultsthere were no significant differences in baseline characteristics between the 2 groups ( p > 0.05 ) . 
 the postoperative visual acuity of the patients in the fp8 group was better than that of the patients in the fp7 group in some early postoperative periods ( p < 0.05 ) ; however , after 10 postoperative months , visual acuity was not significantly different through the 3-year follow - up period ( p > 0.05 ) . 
 postoperative iop was not significantly different between the 2 groups ( p > 0.05 ) except for iop on postoperative day 1 ( 11.42 mmhg for the fp7 group and 7.42 mmhg for the fp8 group ; p = 0.031 ) . 
 there was no statistical difference in success rates , final iop , number of medications , or complication rates between the 2 groups ( p > 0.05).conclusionsthe fp7 and fp8 agv implants showed no difference in terms of vision preservation , iop reduction , and number of glaucoma medications required . ","iop, fp7, fp8, agv, postoperative",purposeto compar success rate complic visual outcom silicon ahm glaucoma valv agv implant 96 mm2 fp8 184 mm2 fp7 surfac areasmethodsthi studi retrospect review record 132 adult patient 134 eye underw silicon agv implant surgeri among outcom 24 eye 24 patient refractori glaucoma underw fp8 agv implant compar 76 eye 76 patient underw fp7 agv implant preoper postop datum includ intraocular pressur iop visual acuiti number medic complic compar 2 groupsresultsther signific differ baselin characterist 2 group p 005 postop visual acuiti patient fp8 group well patient fp7 group earli postop period p 005 howev 10 postop month visual acuiti significantli differ 3year follow period p 005 postop iop significantli differ 2 group p 005 except iop postop day 1 1142 mmhg fp7 group 742 mmhg fp8 group p 0031 statist differ success rate final iop number medic complic rate 2 group p 005conclusionsth fp7 fp8 agv implant show differ term vision preserv iop reduct number glaucoma medic requir
" objectives : this study assessed the effect of cast rectifiers on the marginal misfit of cast ucla abutments compared to premachined ucla abutments . 
 the influence of casting and porcelain baking on the marginal misfit of these components was also investigated.methods:two groups were analyzed : test group  10 cast ucla abutments , finished with cast rectifier and submitted to ceramic application ; control group  10 premachined ucla abutments , cast with noble metal alloy and submitted to ceramic application . 
 vertical misfit measurements were performed under light microscopy . in the test group , measurements were performed before and after the use of cast rectifiers , and after ceramic application . in the control group , measurements were performed before and after casting , and after ceramic application . 
 data were submitted to statistical analysis by anova and tukey 's test ( = 5%).results : the use of cast rectifiers significantly reduced the marginal misfit of cast ucla abutments ( from 25.68m to 14.83m ; p<0.05 ) . 
 after ceramic application , the rectified cylinders presented misfit values ( 16.18m ) similar to those of premachined components ( 14.3 m ) . 
 casting of the premachined ucla abutments altered the marginal misfit of these components ( from 9.63 m to 14.6 m ; p<0.05 ) . 
 there were no significant changes after porcelain baking , in both groups.conclusion:the use of cast rectifiers reduced the vertical misfit of cast ucla abutments . 
 even with carefully performed laboratory steps , changes at the implant interface of premachined ucla abutments occurred . 
 ceramic application did not alter the marginal misfit values of ucla abutments . ","cast, ucla, abutments, misfit, ceramic",object studi assess effect cast rectifi margin misfit cast ucla abut compar premachin ucla abut influenc cast porcelain bake margin misfit compon also investigatedmethodstwo group analyz test group 10 cast ucla abut finish cast rectifi submit ceram applic control group 10 premachin ucla abut cast nobl metal alloy submit ceram applic vertic misfit measur perform light microscopi test group measur perform use cast rectifi ceram applic control group measur perform cast ceram applic datum submit statist analysi anova tukey test 5result use cast rectifi significantli reduc margin misfit cast ucla abut 2568 1483 p005 ceram applic rectifi cylind present misfit valu 1618 similar premachin compon 143 cast premachin ucla abut alter margin misfit compon 963 146 p005 signific chang porcelain bake groupsconclusionth use cast rectifi reduc vertic misfit cast ucla abut even care perform laboratori step chang implant interfac premachin ucla abut occur ceram applic alter margin misfit valu ucla abut
